E,count
5e-07,109.0
5.454955327126429e-07,113.0
5.951307524189014e-07,112.0
6.492823336488494e-07,114.0
7.083612249493756e-07,128.0
7.7281576751348e-07,107.0
8.431350975769916e-07,114.0
9.198528584029764e-07,123.0
1.003551250023558e-06,105.0
1.0948654474720813e-06,123.0
1.1944884210348986e-06,111.0
1.3031761951030342e-06,97.0
1.4217535855323297e-06,117.0
1.5511204590521366e-06,111.0
1.6922585622242527e-06,121.0
1.8462389717761e-06,106.0
2.014230222847696e-06,122.0
2.197507176836419e-06,123.0
2.397460696136482e-06,117.0
2.6156081991931885e-06,103.0
2.85360517597289e-06,119.0
3.1132577512377804e-06,127.0
3.3965363909664363e-06,126.0
3.7055908559362277e-06,109.0
4.042766515948071e-06,117.0
4.410622148499857e-06,120.0
4.8119493569802335e-06,117.0
5.249793755744384e-06,123.0
5.727478082842591e-06,124.0
6.248627415800413e-06,115.0
6.817196681809744e-06,113.0
7.437500671101352e-06,118.0
8.114246781266143e-06,122.0
8.852570741017265e-06,121.0
9.65807558449514e-06,127.0
1.0536874171886315e-05,137.0
1.1495635579038429e-05,142.0
1.254163570811596e-05,126.0
1.368281250337327e-05,113.0
1.4927826191069629e-05,137.0
1.6286125000678543e-05,133.0
1.7768016866139707e-05,123.0
1.938474765128425e-05,113.0
2.1148586493074912e-05,172.0
2.307291891031861e-05,152.0
2.5172348384439782e-05,137.0
2.746280718319643e-05,149.0
2.996167726836467e-05,170.0
3.268792220494181e-05,150.0
3.566223107290833e-05,152.0
3.890717547367508e-05,171.0
4.244738082271333e-05,160.0
4.6309713228284965e-05,167.0
5.0523483374466075e-05,162.0
5.512066895570546e-05,169.0
6.0136157350939714e-05,176.0
6.560801037888436e-05,199.0
7.157775314369226e-05,206.0
7.80906891629851e-05,199.0
8.519624416972012e-05,187.0
9.294834119695576e-05,188.0
0.00010140580979197987,204.0
0.00011063283246526601,231.0
0.00012069943176229786,248.0
0.00013168200165457607,259.0
0.00014366388728246038,240.0
0.0001567360174494298,267.0
0.00017099759466766964,238.0
0.00018655684799164229,271.0
0.00020353185435278515,250.0
0.0002220514346283294,298.0
0.0002422561312443746,246.0
0.00026429927473210844,230.0
0.00028834814733111336,248.0
0.000314585252470179,279.0
0.0003432096997595235,294.0
0.00037443871600493546,293.0
0.00040850929371070104,252.0
0.00044567998958156924,351.0
0.0004862328866723266,356.0
0.0005304757350754545,352.0
0.0005787442873922324,357.0
0.0006314048467108502,417.0
0.0006888570464277605,424.0
0.0007515368830079389,425.0
0.0008199200246992298,491.0
0.0008945254213101404,505.0
0.0009759192424451539,553.0
0.0010647191740842774,579.0
0.0011615991061129376,632.0
0.001267294246375215,659.0
0.0013826067000602307,674.0
0.0015084115567628514,737.0
0.0016456635314125191,884.0
0.0017954042094672847,841.0
0.001958769951355758,941.0
0.002137000516152656,1028.0
0.0023314484699317726,1013.0
0.00254358945019502,1106.0
0.002775033364272785,1176.0
0.0030275366066786847,1282.0
0.0033030153881344363,1392.0
0.0036035602774169033,1450.0
0.0039314520663833105,1642.0
0.004289179078571974,1832.0
0.00467945605273109,1953.0
0.0051052447445799,1995.0
