E,count
5e-07,569.0
5.454955327126429e-07,729.0
5.951307524189014e-07,962.0
6.492823336488494e-07,549.0
7.083612249493756e-07,816.0
7.7281576751348e-07,562.0
8.431350975769916e-07,709.0
9.198528584029764e-07,464.0
1.003551250023558e-06,704.0
1.0948654474720813e-06,829.0
1.1944884210348986e-06,621.0
1.3031761951030342e-06,817.0
1.4217535855323297e-06,827.0
1.5511204590521366e-06,762.0
1.6922585622242527e-06,784.0
1.8462389717761e-06,695.0
2.014230222847696e-06,737.0
2.197507176836419e-06,893.0
2.397460696136482e-06,951.0
2.6156081991931885e-06,838.0
2.85360517597289e-06,566.0
3.1132577512377804e-06,567.0
3.3965363909664363e-06,668.0
3.7055908559362277e-06,604.0
4.042766515948071e-06,543.0
4.410622148499857e-06,860.0
4.811949356980233e-06,820.0
5.249793755744384e-06,654.0
5.727478082842591e-06,661.0
6.248627415800413e-06,863.0
6.817196681809744e-06,705.0
7.437500671101352e-06,860.0
8.114246781266143e-06,755.0
8.852570741017265e-06,703.0
9.65807558449514e-06,637.0
1.0536874171886315e-05,852.0
1.1495635579038429e-05,898.0
1.254163570811596e-05,598.0
1.368281250337327e-05,702.0
1.4927826191069629e-05,837.0
1.6286125000678543e-05,942.0
1.7768016866139707e-05,896.0
1.938474765128425e-05,1040.0
2.1148586493074912e-05,898.0
2.307291891031861e-05,1190.0
2.5172348384439782e-05,986.0
2.746280718319643e-05,1104.0
2.996167726836467e-05,1123.0
3.268792220494181e-05,1281.0
3.566223107290833e-05,1337.0
3.890717547367508e-05,1261.0
4.244738082271333e-05,1293.0
4.6309713228284965e-05,1187.0
5.0523483374466075e-05,1340.0
5.512066895570546e-05,1483.0
6.0136157350939714e-05,1694.0
6.560801037888436e-05,1433.0
7.157775314369226e-05,1594.0
7.80906891629851e-05,1957.0
8.519624416972012e-05,1697.0
9.294834119695576e-05,1792.0
0.00010140580979197987,1974.0
0.00011063283246526601,2120.0
0.00012069943176229786,1930.0
0.00013168200165457607,1669.0
0.00014366388728246038,2196.0
0.0001567360174494298,1767.0
0.00017099759466766964,1661.0
0.00018655684799164229,2278.0
0.00020353185435278515,2441.0
0.0002220514346283294,2311.0
0.0002422561312443746,2297.0
0.00026429927473210844,2227.0
0.00028834814733111336,2447.0
0.00031458525247017897,2911.0
0.0003432096997595235,2518.0
0.00037443871600493546,3249.0
0.00040850929371070104,3224.0
0.00044567998958156924,3308.0
0.0004862328866723266,3324.0
0.0005304757350754545,3554.0
0.0005787442873922324,3551.0
0.0006314048467108502,3443.0
0.0006888570464277605,4411.0
0.0007515368830079389,4361.0
0.0008199200246992298,4507.0
0.0008945254213101404,4793.0
0.0009759192424451538,4198.0
0.0010647191740842774,5187.0
0.0011615991061129376,4848.0
0.001267294246375215,6049.0
0.0013826067000602305,5910.0
0.0015084115567628512,5901.0
0.0016456635314125191,5316.0
0.0017954042094672845,6185.0
0.001958769951355758,6262.0
0.002137000516152656,5986.0
0.0023314484699317726,5981.0
0.00254358945019502,6253.0
0.002775033364272785,6730.0
0.0030275366066786847,6300.0
0.0033030153881344363,6959.0
0.0036035602774169033,6841.0
0.0039314520663833105,7526.0
0.004289179078571974,6904.0
0.00467945605273109,6625.0
0.0051052447445799,7509.0
0.005569776403146067,6764.0
0.006076576292248957,6952.0
0.006629490443218724,6286.0
0.0072327148418739615,6163.0
0.007890827271253353,6610.0
0.008608822051751596,5988.0
0.00939214794229719,5559.0
0.010246749490198718,10265.0
0.01117911214345793,6521.0
0.012196311467899918,5988.0
0.013306066842622765,5452.0
0.014516800041253112,5037.0
0.015837699143572567,5201.0
0.01727878826253141,4207.0
0.018851003615797068,4954.0
0.020566276519134404,4618.0
0.022437623931441487,4097.0
0.02447924723857524,3882.0
0.026706640025622244,3790.0
0.0291367056554832,3494.0
0.03178788554605864,3238.0
0.03468029911951156,2638.0
0.037835896485663524,2514.0
0.041278625018214964,2515.0
0.045034611087913214,2433.0
0.04913235833181593,2101.0
0.05360296396328479,2027.0
0.05848035476425728,1989.0
0.06380154455070589,3031.0
0.06960691506515346,2763.0
0.07594052242789932,2190.0
0.0828504314725667,2396.0
0.09038908050320038,2643.0
0.09861367924099852,2371.0
0.10758664298064438,2296.0
0.11737606625098332,2611.0
0.12805623957458925,2768.0
0.13970821324783708,3086.0
0.15242041241992083,3677.0
0.1662893081385709,4323.0
0.18142014945493354,4941.0
0.19792776214345253,5269.0
0.21593742009812833,5417.0
0.23558579601804458,5540.0
0.2570219985967911,5304.0
0.2804087040868494,6094.0
0.30592339082623565,6572.0
0.3337596860960316,6077.0
0.3641288355299186,6197.0
0.3972613062268554,6710.0
0.4334085357326778,6668.0
0.4728448401634072,7221.0
0.5158694959507257,6037.0
0.5628090110076875,12403.0
0.6140196025502298,8811.0
0.6698899003782859,7098.0
0.7308438961313448,5708.0
0.7973441608999046,8262.0
0.8698953556108174,6477.0
0.9490480608263557,5132.0
1.0354029550207475,6817.0
1.129615373042577,5626.0
1.232400279356503,4501.0
1.3445376938055713,4744.0
1.4668786110694,4809.0
1.6003514587401686,5589.0
1.7459691430258506,5159.0
1.9048367355494462,5032.0
2.078159859578314,5342.0
2.267253839325412,2853.0
2.4735536817552015,3035.0
2.6986249666447515,2925.0
2.9441757275430347,2573.0
3.2120694137914483,2475.0
3.504339031972306,2612.0
3.8232025741028814,2054.0
4.171079849657207,2521.0
4.550610849151457,2454.0
4.964675778651625,2014.0
5.4164169172422465,2328.0
5.909262463329662,2072.0
6.446952550745691,1250.0
7.033567632084306,728.0
7.673559444668479,554.0
8.37178479414313,313.0
9.13354241207344,86.0
9.964613167255038,14.0
10.871303935894408,0.0
11.86049546358357,0.0
12.93969458228681,0.0
14.117091178606916,0.0
15.401620345654266,0.0
16.803030190181108,0.0
18.33195580955897,0.0
